## START Q10EvidenceDeepDive 2026-06-27T07:36:59.1013225+02:00
Bundling 6%
Bundling 16%
Bundling 63%
Bundling 69%
Bundling 74%
Bundling 80%
Bundling 85%
Bundling 90%
Bundling 95%
Bundling 100%
Copying public dir 10.9 MB
Copying public dir 14.5 MB
Copying public dir 23 MB
Copying public dir 31.3 MB
Copying public dir 40.1 MB
Copying public dir 48.8 MB
Copying public dir 59.8 MB
Copying public dir 62.2 MB
Copying public dir 72.7 MB
Copying public dir 73.9 MB
Copying public dir 85.4 MB
Copying public dir 96.3 MB
Copying public dir 97.4 MB
Copying public dir 113.6 MB
Copying public dir 127.8 MB
Copying public dir 143.2 MB
Copying public dir 160.8 MB
Copying public dir 171.8 MB
Copying public dir 180.6 MB
Copying public dir 192.5 MB
Copying public dir 204.5 MB
Copying public dir 207.6 MB
Copying public dir 212 MB
Copying public dir 218 MB
Copying public dir 224.8 MB
Copying public dir 232.2 MB
Copying public dir 237.4 MB
Copying public dir 245.9 MB
Copying public dir 251.7 MB
Copying public dir 253.8 MB
Copying public dir 262.5 MB
Copying public dir 263 MB
Getting composition
[90mComposition          Q10EvidenceDeepDive[39m
[90mCodec                h264[39m
[90mOutput               out\coenzym-q10-normalos-aoede-upload-fast.mp4[39m
[90mConcurrency          8x[39m
Rendered 0/5549
Rendered 1/5549, time remaining: 3h 6m 46s
Rendered 2/5549, time remaining: 1h 40m 4s
Rendered 3/5549, time remaining: 1h 6m 53s
Rendered 4/5549, time remaining: 51m 59s
Rendered 5/5549, time remaining: 42m 34s
Rendered 6/5549, time remaining: 36m 23s
Rendered 7/5549, time remaining: 31m 51s
Rendered 8/5549, time remaining: 32m 2s
Rendered 9/5549, time remaining: 32m 19s
Rendered 10/5549, time remaining: 29m 56s
Rendered 11/5549, time remaining: 27m 38s
Rendered 12/5549, time remaining: 25m 44s
Rendered 13/5549, time remaining: 24m 31s
Rendered 14/5549, time remaining: 23m 11s
Rendered 15/5549, time remaining: 22m 5s
Rendered 16/5549, time remaining: 21m 18s
Rendered 17/5549, time remaining: 22m 50s
Rendered 18/5549, time remaining: 22m 10s
Rendered 19/5549, time remaining: 21m 15s
Rendered 20/5549, time remaining: 20m 27s
Rendered 21/5549, time remaining: 19m 43s
Rendered 22/5549, time remaining: 19m 4s
Rendered 23/5549, time remaining: 18m 32s
Rendered 24/5549, time remaining: 18m 7s
Rendered 25/5549, time remaining: 19m 38s
Rendered 26/5549, time remaining: 19m 36s
Rendered 27/5549, time remaining: 19m 2s
Rendered 28/5549, time remaining: 18m 31s
Rendered 29/5549, time remaining: 18m 3s
Rendered 30/5549, time remaining: 17m 42s
Rendered 31/5549, time remaining: 17m 17s
Rendered 32/5549, time remaining: 16m 59s
Rendered 33/5549, time remaining: 17m 21s
Rendered 34/5549, time remaining: 18m 17s
Rendered 35/5549, time remaining: 18m 10s
Rendered 36/5549, time remaining: 17m 52s
Rendered 37/5549, time remaining: 17m 40s
Rendered 38/5549, time remaining: 17m 19s
Rendered 39/5549, time remaining: 17m 14s
Rendered 40/5549, time remaining: 17m 8s
Rendered 41/5549, time remaining: 18m 3s
Rendered 42/5549, time remaining: 19m 33s
Rendered 43/5549, time remaining: 19m 17s
Rendered 44/5549, time remaining: 18m 59s
Rendered 45/5549, time remaining: 18m 45s
Rendered 46/5549, time remaining: 18m 34s
Rendered 47/5549, time remaining: 18m 18s
Rendered 48/5549, time remaining: 18m 4s
Rendered 49/5549, time remaining: 17m 47s
Rendered 50/5549, time remaining: 19m 10s
Rendered 51/5549, time remaining: 19m 4s
Rendered 52/5549, time remaining: 18m 51s
Rendered 53/5549, time remaining: 18m 39s
Rendered 54/5549, time remaining: 18m 32s
Rendered 55/5549, time remaining: 18m 18s
Rendered 56/5549, time remaining: 18m 11s
Rendered 57/5549, time remaining: 18m 27s
Rendered 58/5549, time remaining: 19m 33s
Rendered 59/5549, time remaining: 19m 20s
Rendered 60/5549, time remaining: 19m 9s
Rendered 61/5549, time remaining: 19m 10s
Rendered 62/5549, time remaining: 19m 14s
Rendered 63/5549, time remaining: 19m 3s
Rendered 64/5549, time remaining: 18m 59s
Rendered 65/5549, time remaining: 18m 48s
Rendered 66/5549, time remaining: 19m 31s
Rendered 67/5549, time remaining: 20m 9s
Rendered 68/5549, time remaining: 20m 33s
Rendered 69/5549, time remaining: 20m 51s
Rendered 70/5549, time remaining: 21m 2s
Rendered 71/5549, time remaining: 21m 31s
Rendered 72/5549, time remaining: 22m 23s
Rendered 73/5549, time remaining: 22m 27s
Rendered 74/5549, time remaining: 22m 39s
Rendered 75/5549, time remaining: 22m 55s
Rendered 76/5549, time remaining: 23m 32s
Rendered 77/5549, time remaining: 23m 20s
Rendered 78/5549, time remaining: 23m 9s
Rendered 79/5549, time remaining: 22m 58s
Rendered 80/5549, time remaining: 22m 45s
Rendered 81/5549, time remaining: 22m 34s
Rendered 82/5549, time remaining: 22m 23s
Rendered 83/5549, time remaining: 22m 14s
Rendered 84/5549, time remaining: 22m 38s
Rendered 85/5549, time remaining: 22m 35s
Rendered 86/5549, time remaining: 22m 23s
Rendered 87/5549, time remaining: 22m 12s
Rendered 88/5549, time remaining: 22m 0s
Rendered 89/5549, time remaining: 21m 53s
Rendered 90/5549, time remaining: 21m 42s
Rendered 91/5549, time remaining: 21m 31s
Rendered 92/5549, time remaining: 21m 32s
Rendered 93/5549, time remaining: 21m 44s
Rendered 94/5549, time remaining: 21m 35s
Rendered 95/5549, time remaining: 21m 24s
Rendered 96/5549, time remaining: 21m 14s
Rendered 97/5549, time remaining: 21m 6s
Rendered 98/5549, time remaining: 20m 57s
Rendered 99/5549, time remaining: 20m 52s
Rendered 100/5549, time remaining: 20m 55s
Rendered 101/5549, time remaining: 20m 58s
Rendered 102/5549, time remaining: 20m 59s
Rendered 103/5549, time remaining: 20m 51s
Rendered 104/5549, time remaining: 20m 47s
Rendered 105/5549, time remaining: 20m 43s
Rendered 106/5549, time remaining: 20m 35s
Rendered 107/5549, time remaining: 20m 26s
Rendered 108/5549, time remaining: 20m 24s
Rendered 109/5549, time remaining: 20m 24s
Rendered 110/5549, time remaining: 20m 17s
Rendered 111/5549, time remaining: 20m 8s
Rendered 112/5549, time remaining: 20m 4s
Rendered 113/5549, time remaining: 20m 4s
Rendered 114/5549, time remaining: 19m 56s
Rendered 115/5549, time remaining: 19m 48s
Rendered 116/5549, time remaining: 19m 50s
Rendered 117/5549, time remaining: 19m 50s
Rendered 118/5549, time remaining: 19m 42s
Rendered 119/5549, time remaining: 19m 35s
Rendered 120/5549, time remaining: 19m 33s
Rendered 121/5549, time remaining: 19m 27s
Rendered 122/5549, time remaining: 19m 26s
Rendered 123/5549, time remaining: 19m 19s
Rendered 124/5549, time remaining: 19m 18s
Rendered 125/5549, time remaining: 19m 20s
Rendered 126/5549, time remaining: 19m 13s
Rendered 127/5549, time remaining: 19m 6s
Rendered 128/5549, time remaining: 19m 5s
Rendered 129/5549, time remaining: 18m 58s
Rendered 130/5549, time remaining: 18m 51s
Rendered 131/5549, time remaining: 18m 53s
Rendered 132/5549, time remaining: 18m 48s
Rendered 133/5549, time remaining: 18m 50s
Rendered 134/5549, time remaining: 18m 46s
Rendered 135/5549, time remaining: 18m 40s
Rendered 136/5549, time remaining: 18m 41s
Rendered 137/5549, time remaining: 18m 35s
Rendered 138/5549, time remaining: 18m 30s
Rendered 139/5549, time remaining: 18m 31s
Rendered 140/5549, time remaining: 18m 25s
Rendered 141/5549, time remaining: 18m 31s
Rendered 142/5549, time remaining: 18m 26s
Rendered 143/5549, time remaining: 18m 20s
Rendered 144/5549, time remaining: 18m 15s
Rendered 145/5549, time remaining: 18m 10s
Rendered 146/5549, time remaining: 18m 5s
Rendered 147/5549, time remaining: 18m 3s
Rendered 148/5549, time remaining: 18m 3s
Rendered 149/5549, time remaining: 18m 8s
Rendered 150/5549, time remaining: 18m 5s
Rendered 151/5549, time remaining: 16m 55s
Rendered 152/5549, time remaining: 16m 52s
Rendered 153/5549, time remaining: 16m 54s
Rendered 154/5549, time remaining: 16m 55s
Rendered 155/5549, time remaining: 16m 55s
Rendered 156/5549, time remaining: 16m 57s
Rendered 157/5549, time remaining: 17m 10s
Rendered 158/5549, time remaining: 17m 2s
Rendered 159/5549, time remaining: 16m 51s
Rendered 160/5549, time remaining: 16m 50s
Rendered 161/5549, time remaining: 16m 51s
Rendered 162/5549, time remaining: 16m 51s
Rendered 163/5549, time remaining: 16m 49s
Rendered 164/5549, time remaining: 16m 48s
Rendered 165/5549, time remaining: 17m 3s
Rendered 166/5549, time remaining: 17m 7s
Rendered 167/5549, time remaining: 16m 51s
Rendered 168/5549, time remaining: 16m 49s
Rendered 169/5549, time remaining: 16m 49s
Rendered 170/5549, time remaining: 16m 52s
Rendered 171/5549, time remaining: 16m 52s
Rendered 172/5549, time remaining: 16m 52s
Rendered 173/5549, time remaining: 16m 58s
Rendered 174/5549, time remaining: 16m 59s
Rendered 175/5549, time remaining: 16m 49s
Rendered 176/5549, time remaining: 16m 45s
Rendered 177/5549, time remaining: 16m 45s
Rendered 178/5549, time remaining: 16m 47s
Rendered 179/5549, time remaining: 16m 47s
Rendered 180/5549, time remaining: 16m 46s
Rendered 181/5549, time remaining: 16m 49s
Rendered 182/5549, time remaining: 16m 49s
Rendered 183/5549, time remaining: 16m 54s
Rendered 184/5549, time remaining: 16m 39s
Rendered 185/5549, time remaining: 16m 37s
Rendered 186/5549, time remaining: 16m 36s
Rendered 187/5549, time remaining: 16m 34s
Rendered 188/5549, time remaining: 16m 37s
Rendered 189/5549, time remaining: 16m 36s
Rendered 190/5549, time remaining: 16m 33s
Rendered 191/5549, time remaining: 16m 30s
Rendered 192/5549, time remaining: 17m 50s
Rendered 193/5549, time remaining: 17m 54s
Rendered 194/5549, time remaining: 17m 51s
Rendered 195/5549, time remaining: 17m 49s
Rendered 196/5549, time remaining: 17m 46s
Rendered 197/5549, time remaining: 17m 45s
Rendered 198/5549, time remaining: 17m 43s
Rendered 199/5549, time remaining: 17m 41s
Rendered 200/5549, time remaining: 18m 27s
Rendered 201/5549, time remaining: 19m 16s
Rendered 202/5549, time remaining: 19m 49s
Rendered 203/5549, time remaining: 19m 53s
Rendered 204/5549, time remaining: 19m 55s
Rendered 205/5549, time remaining: 20m 0s
Rendered 206/5549, time remaining: 20m 2s
Rendered 207/5549, time remaining: 19m 56s
Rendered 208/5549, time remaining: 19m 36s
Rendered 209/5549, time remaining: 19m 46s
Rendered 210/5549, time remaining: 19m 59s
Rendered 211/5549, time remaining: 19m 58s
Rendered 212/5549, time remaining: 19m 55s
Rendered 213/5549, time remaining: 19m 56s
Rendered 214/5549, time remaining: 19m 50s
Rendered 215/5549, time remaining: 19m 47s
Rendered 216/5549, time remaining: 19m 21s
Rendered 217/5549, time remaining: 18m 57s
Rendered 218/5549, time remaining: 19m 5s
Rendered 219/5549, time remaining: 18m 50s
Rendered 220/5549, time remaining: 18m 39s
Rendered 221/5549, time remaining: 18m 20s
Rendered 222/5549, time remaining: 17m 49s
Rendered 223/5549, time remaining: 17m 41s
Rendered 224/5549, time remaining: 17m 28s
Rendered 225/5549, time remaining: 17m 13s
Rendered 226/5549, time remaining: 17m 7s
Rendered 227/5549, time remaining: 17m 5s
Rendered 228/5549, time remaining: 17m 4s
Rendered 229/5549, time remaining: 17m 3s
Rendered 230/5549, time remaining: 17m 3s
Rendered 231/5549, time remaining: 17m 2s
Rendered 232/5549, time remaining: 17m 2s
Rendered 233/5549, time remaining: 17m 0s
Rendered 234/5549, time remaining: 16m 58s
Rendered 235/5549, time remaining: 16m 52s
Rendered 236/5549, time remaining: 16m 52s
Rendered 237/5549, time remaining: 16m 50s
Rendered 238/5549, time remaining: 16m 50s
Rendered 239/5549, time remaining: 16m 47s
Rendered 240/5549, time remaining: 16m 47s
Rendered 241/5549, time remaining: 16m 47s
Rendered 242/5549, time remaining: 16m 59s
Rendered 243/5549, time remaining: 16m 45s
Rendered 244/5549, time remaining: 16m 43s
Rendered 245/5549, time remaining: 16m 43s
Rendered 246/5549, time remaining: 16m 43s
Rendered 247/5549, time remaining: 16m 41s
Rendered 248/5549, time remaining: 16m 40s
Rendered 249/5549, time remaining: 16m 37s
Rendered 250/5549, time remaining: 16m 48s
Rendered 251/5549, time remaining: 16m 39s
Rendered 252/5549, time remaining: 16m 33s
Rendered 253/5549, time remaining: 16m 32s
Rendered 254/5549, time remaining: 16m 27s
Rendered 255/5549, time remaining: 16m 23s
Rendered 256/5549, time remaining: 16m 23s
Rendered 257/5549, time remaining: 16m 25s
Rendered 258/5549, time remaining: 16m 34s
Rendered 259/5549, time remaining: 16m 28s
Rendered 260/5549, time remaining: 16m 29s
Rendered 261/5549, time remaining: 16m 29s
Rendered 262/5549, time remaining: 16m 25s
Rendered 263/5549, time remaining: 16m 19s
Rendered 264/5549, time remaining: 16m 18s
Rendered 265/5549, time remaining: 16m 22s
Rendered 266/5549, time remaining: 16m 24s
Rendered 267/5549, time remaining: 16m 23s
Rendered 268/5549, time remaining: 16m 23s
Rendered 269/5549, time remaining: 16m 23s
Rendered 270/5549, time remaining: 16m 18s
Rendered 271/5549, time remaining: 16m 17s
Rendered 272/5549, time remaining: 16m 11s
Rendered 273/5549, time remaining: 16m 13s
Rendered 274/5549, time remaining: 16m 26s
Rendered 275/5549, time remaining: 16m 18s
Rendered 276/5549, time remaining: 16m 18s
Rendered 277/5549, time remaining: 16m 17s
Rendered 278/5549, time remaining: 16m 12s
Rendered 279/5549, time remaining: 16m 12s
Rendered 280/5549, time remaining: 16m 13s
Rendered 281/5549, time remaining: 16m 6s
Rendered 282/5549, time remaining: 16m 21s
Rendered 283/5549, time remaining: 16m 14s
Rendered 284/5549, time remaining: 16m 12s
Rendered 285/5549, time remaining: 16m 12s
Rendered 286/5549, time remaining: 16m 5s
Rendered 287/5549, time remaining: 16m 5s
Rendered 288/5549, time remaining: 16m 4s
Rendered 289/5549, time remaining: 15m 57s
Rendered 290/5549, time remaining: 16m 17s
Rendered 291/5549, time remaining: 16m 5s
Rendered 292/5549, time remaining: 16m 4s
Rendered 293/5549, time remaining: 16m 4s
Rendered 294/5549, time remaining: 16m 3s
Rendered 295/5549, time remaining: 16m 2s
Rendered 296/5549, time remaining: 16m 1s
Rendered 297/5549, time remaining: 15m 59s
Rendered 298/5549, time remaining: 16m 10s
Rendered 299/5549, time remaining: 16m 0s
Rendered 300/5549, time remaining: 15m 58s
Rendered 301/5549, time remaining: 15m 58s
Rendered 302/5549, time remaining: 15m 57s
Rendered 303/5549, time remaining: 15m 56s
Rendered 304/5549, time remaining: 15m 54s
Rendered 305/5549, time remaining: 15m 56s
Rendered 306/5549, time remaining: 16m 9s
Rendered 307/5549, time remaining: 15m 55s
